review_text,review_rating,bert_sentiment_label,rating_label
"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",5,Positive,Positive
"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",5,Positive,Positive
"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",5,Positive,Positive
Lovely fresh smell,5,Positive,Positive
great item,5,Positive,Positive
What’s not to like noodles that taste like spare ribs,5,Negative,Positive
"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",5,Positive,Positive
So much cheaper than in Boots. Great value!!!,5,Positive,Positive
"This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",5,Positive,Positive
Washing,5,Positive,Positive
Great body wash. Cheap and fast delivery,5,Positive,Positive
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",1,Negative,Negative
Bought this for my step dad,5,Positive,Positive
Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,5,Positive,Positive
Great gift,5,Positive,Positive
This is a classic and you know when its Hellmans Mayo. Cap stays so much cleaner than the jar. Tastes great with EVERYTHING!,5,Positive,Positive
Cool,5,Positive,Positive
Great product!,5,Positive,Positive
Absolutely great moistures for dry skin. Can complain. It’s smells great of the skin if you like that coca butter smell.,5,Positive,Positive
Great package buy,5,Positive,Positive
Great gift,5,Positive,Positive
Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,5,Positive,Positive
Works well and truly invisible,5,Positive,Positive
"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",1,Negative,Negative
Nice and cost effective,3,Positive,Neutral
Great,5,Positive,Positive
Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,5,Positive,Positive
"This is my favourite scent from the intense range, smells lovely and lasts ages on my clothes. I do use more than the recommended amount otherwise the scent isn’t very strong, so it definitely doesn’t do 64 washes, probably half that.",4,Positive,Positive
I find these to be the best for my laundry and a part of that includes only using one - not over dosing like I do with liquid or powders. smells great and washes well.,5,Positive,Positive
And under 150 calories for a really big portion,5,Negative,Positive
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1,Neutral,Negative
Fresh and clean. Reliable delivery,5,Positive,Positive
Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,5,Positive,Positive
Great,5,Positive,Positive
Nice and cost effective,3,Positive,Neutral
"Great combination, started using when my now 3yo was born and am still using it",5,Positive,Positive
Nice and fresh smelling products,5,Positive,Positive
"We all crave things that transport us back to more innocent times. For me Bovril is one of those things, from the gooey unctuousness of the tar black bovril overflowing from the spoon to the ""ding ding ding"" as I stir it in hot water to make it dissolve and the earthy, beefy smell with hints of celery and goodness knows what else. Sometimes you can get alcohol fatigue so Bovril is a great alternative to a nightcap or even mug of tea. I even go so far as to dissolve a pat of butter in it too for extra richness and within an hour I'm pretty much knocked out and sleep soundly until morning, warm and comforted. This pack will last me a long time I am sure, certainly 2 winters.",5,Positive,Positive
"Lovely, but can be bought cheaper in home bargains !",5,Positive,Positive
Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,1,Negative,Negative
Good price.,5,Positive,Positive
Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,1,Negative,Negative
Good price.,5,Positive,Positive
"Lovely, but can be bought cheaper in home bargains !",5,Positive,Positive
It came very fast.,5,Negative,Positive
It came very fast.,5,Negative,Positive
It came very fast.,5,Negative,Positive
It came very fast.,5,Negative,Positive
It came very fast.,5,Negative,Positive
Hi Simple!This is my absolute must-have facial moisturiser and now I cannot find it in UK stores anywhere. Have you discontinued this product?! Please don't!,5,Positive,Positive
Please go back to the old capsules - these new ones make our household suffer a terrible allergic reaction - constant hay fever!,1,Negative,Negative
Never usually use laundry softener but was very pleasantly surprised by the results with this product. Clothes smelt great and the smell lasted despite the childrens best efforts! And the clothes came out much softer. Think I am converted!,4,Positive,Positive
I am a marmite lover. I have switched back to the glass jar because 1. marmite isn't the right consistency to be squeezed and 2. the glass jar can be recycled.,5,Negative,Positive
Great,5,Positive,Positive
Thank you,5,Positive,Positive
I got this and it’s be a great buy. Don’t have to put much into wash and clean clothes at end of was the fragrance last long time too,5,Positive,Positive
"I had been lured by all the enticing fragrances on other conditioners but noticed that my eyes would smart and my kids would ask why I seemed to be squinting my eyes. I'm now back to using Comfort Pure as I used it before with no reactions. Smells good, softens clothes, can't complain!",5,Positive,Positive
"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you don’t, you won’t really be able to still use the product as there is no avoiding it.",5,Positive,Positive
"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you don’t, you won’t really be able to still use the product as there is no avoiding it.",5,Positive,Positive
"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you don’t, you won’t really be able to still use the product as there is no avoiding it.",5,Positive,Positive
Great,5,Positive,Positive
Good,5,Positive,Positive
We love it and even better when it’s on a deal,5,Positive,Positive
Good size spray,5,Positive,Positive
The price of this bulk pack is less than buying the items individually from somewhere else. I won't use any other shampoo because they tend to dry my hair and I don't like using a lot of chemicals. This product is perfect as it contains nothing and keeps me dandruff free. Even anti-dandruff shampoo doesn't always work I've found in the past.,5,Positive,Positive
Like to make my own soups & casseroles. This product does very well for that.,5,Positive,Positive
Good size spray,5,Positive,Positive
The best ice cream ever,5,Positive,Positive
I live in an extremely hard water area half the year. As soon as I'm here my hair becomes dry and the scalp sensitive...this is a great shampoo! Both my husband and I are a completely satisfied.,5,Positive,Positive
Easy to use. I will recommend it if you want to get all glam up to go out somewhere this is the product to use,5,Positive,Positive
Disappointed shows big conditioner but small arrived,1,Negative,Negative
We all know how this works,5,Positive,Positive
We all know how this works,5,Positive,Positive
Doesn’t clean my clothes too well and if there is too many clothes they won’t smell good other wise price is good,3,Negative,Neutral
Doesn’t clean my clothes too well and if there is too many clothes they won’t smell good other wise price is good,3,Negative,Neutral
Doesn’t clean my clothes too well and if there is too many clothes they won’t smell good other wise price is good,3,Negative,Neutral
Doesn’t clean my clothes too well and if there is too many clothes they won’t smell good other wise price is good,3,Negative,Neutral
Doesn’t clean my clothes too well and if there is too many clothes they won’t smell good other wise price is good,3,Negative,Neutral
I would recommend - good value,5,Positive,Positive
I will be buying again thank,5,Positive,Positive
What more is there to say,5,Positive,Positive
Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,5,Positive,Positive
As expected - repeat purchase,5,Positive,Positive
Excellent value for money,5,Positive,Positive
Excellent cleaning. Good value.,5,Positive,Positive
Very happy with it,5,Positive,Positive
What more is there to say,5,Positive,Positive
Excellent value,5,Positive,Positive
I would recommend - good value,5,Positive,Positive
As expected - repeat purchase,5,Positive,Positive
Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,5,Positive,Positive
I will be buying again thank,5,Positive,Positive
Great Value shampoo,5,Positive,Positive
Exactly wat it says on the box but for an amazon deal so less money spent!,5,Neutral,Positive
I’ve both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I don’t think large quantity is the issue here. This one from Amazon is very runny as if it’s been diluted and doesn’t smell or soften clothes same. This may be fake I’m thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,1,Negative,Negative
Amazing offer price. Couldn't resist.,5,Positive,Positive
I’ve both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I don’t think large quantity is the issue here. This one from Amazon is very runny as if it’s been diluted and doesn’t smell or soften clothes same. This may be fake I’m thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,1,Negative,Negative
Amazing offer price. Couldn't resist.,5,Positive,Positive
I have hands that are really dry and bleed due to eczema and this is the only handwash that dosent dry my hands out more and make them bleed.,1,Negative,Negative
"No issues, does what it says",5,Positive,Positive
Need I say more. Use them all the time for soups and risottos.,5,Positive,Positive
I simply love this deodrant. The scent is great - fresh and sporty. I have been using it for 3 weeks now and never had problems. What is more it never leaves white marks on the clothes.,5,Positive,Positive
Thicken gravy really well and add a wonderful flavour,5,Positive,Positive
Amazing and great price too,5,Positive,Positive
"Smells great, easy one handed application",4,Positive,Positive
Very good value I would recommend.,5,Positive,Positive
Body deodorant we love the smell and great value for money.,5,Positive,Positive
The only floor cleaner I use. It smells good and my home feels so refreshed using it,5,Positive,Positive
Btilliant buy,5,Positive,Positive
Value for money,5,Positive,Positive
"All fabric conditioners work more or less the same, but this one smells divine and it lasts too.",5,Positive,Positive
Couldn't find any in shops so bought on-line. Thought it was fake branding because it smelled similar but not quite Africa. Poorer product since the new labelling!,2,Negative,Negative
"Been using this for a year, very happy. Last 2 cans the nozzles have blocked within a week. Cant clear them with hot water - bit disappointed",2,Negative,Negative
If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,5,Positive,Positive
"I have been buying this for years. The contents are good. However, the bottle itself is awful. Three times it has cut right under my fingernails when opening. Also, you can't turn it upside down as it approaches empty due again to the ridiculous design of this bottle.",1,Negative,Negative
If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,5,Positive,Positive
Great quality wipes that are strong to use and don't tear apart like other wipes. A must buy over other brand names and I'll be purchasing more in the near future. Very satisfied with simples product line. [This review was collected as part of a promotion.],5,Positive,Positive
I love these face wipes as they do at great job at removing make up and left my skin feeling squeaky clean! Added bonus was the absence of a strong smell or a feeling that some product was left over on my skin. Love them. [This review was collected as part of a promotion.],5,Positive,Positive
Been using for a few months Really pleased how they work Get make up off very easily and smell nice Not to wet so leave skin moisturised and silky clean No irritation Defiently my new favourite make up remover [This review was collected as part of a promotion.],5,Positive,Positive
"Tried and tested this skin quenching night cream,it's of a very light soft texture and when applied at night soaks into your skin making it fell so soft. Would recommend this product to my friends and family as it works wonders . [This review was collected as part of a promotion.]",4,Negative,Positive
Happy with this product. Very light on the skin and not sensitive. I would recommend it. Can apply as much as you wish during the day and it doesn\u2019t feel bad. Comes in an easy to use plastic tub with an easy screw top [This review was collected as part of a promotion.],4,Positive,Positive
"This is a great water based moisturiser, that is light on your skin and gives you a dewy complexion. Since I have been using this product twice a day, I have noticed a significant improvement in my skins elasticity and skin tone. [This review was collected as part of a promotion.]",4,Positive,Positive
"This is another great product from Simple, so don't ever stop making it!! Please!!",5,Positive,Positive
good flavor,5,Positive,Positive
Very good value I would recommend.,5,Positive,Positive
Amazing and great price too,5,Positive,Positive
great,5,Positive,Positive
"Smells great, easy one handed application",4,Positive,Positive
No question as it says on the bottle,5,Positive,Positive
No question as it says on the bottle,5,Positive,Positive
Very good value. My favourite conditioner.,4,Positive,Positive
lovely smell,5,Positive,Positive
Very good value. My favourite conditioner.,4,Positive,Positive
lovely smell,5,Positive,Positive
"Love the product, however it’s hard to spray. Would recommend though.",3,Positive,Neutral
A little goes a long way,5,Neutral,Positive
"Not convinced that smell matches original, seems less thick than previous. Why does description refer to batteries? Other reviews show as Verified Purchase - but none have names?",2,Negative,Negative
This is such a great soap. Me and my wife loves it. It actually moisturizes our skin everytime we used it.,5,Positive,Positive
"Love these soaps, cleans well and keeps your hand moist. Good for people with eczema",5,Positive,Positive
Definitely worth the money! I do laundry very often and these lasted me for over a month! Definitely will buy again.,5,Positive,Positive
"Arrived super fast. Two good sized bottles. I dont know why some people are moaning in the reviews about the size of the fabric softener- its ultra concentrated and so you dont need to use a full cap, it will last you long enough. Fabric softener also smells great.",5,Positive,Positive
Great product very happy with it,5,Positive,Positive
Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,5,Positive,Positive
"Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for £5!",5,Positive,Positive
Great product very happy with it,5,Positive,Positive
Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,5,Positive,Positive
"Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for £5!",5,Positive,Positive
These pods work as well as any other I've used and great value (18 for three bags when I bought),5,Positive,Positive
These pods work as well as any other I've used and great value (18 for three bags when I bought),5,Positive,Positive
These pods work as well as any other I've used and great value (18 for three bags when I bought),5,Positive,Positive
These pods work as well as any other I've used and great value (18 for three bags when I bought),5,Positive,Positive
These pods work as well as any other I've used and great value (18 for three bags when I bought),5,Positive,Positive
I love Comfort Pure. Both our children have sensitive skin and it doesn't irritate like other softeners have done in the past. The scent is also very pleasant and not too overpowering,5,Positive,Positive
Thanks,5,Positive,Positive
Bit watery,5,Neutral,Positive
Good,5,Positive,Positive
Blue bottle is alot better. This smells less than blue bottle and when clothes are hanged outside on washing line you can't small anything,2,Negative,Negative
"Great value for money, smells nice and seems to stop my hair being static days I use it",5,Positive,Positive
Good product,3,Positive,Neutral
Product arrived broken and had spilt all over the inside of the envelope.,2,Negative,Negative
did not squirt very well,2,Positive,Negative
Very good value for the amount of capsuls you get in the packet and a very good price,5,Positive,Positive
"Bit too runny,not as thick liquid as most but ok.",5,Neutral,Positive
Works great,5,Positive,Positive
"I have used Simple Rich moisturiser for years, I now need to find an alternative as the new formula burns my skin. It's a real shame that loyal customers are having to switch, with no information or explanation provided by the manufacturer.",1,Negative,Negative
Good product,3,Positive,Neutral
Product arrived broken and had spilt all over the inside of the envelope.,2,Negative,Negative
"Great value for money, smells nice and seems to stop my hair being static days I use it",5,Positive,Positive
Thanks,5,Positive,Positive
excellent value for money,5,Positive,Positive
These are great. I will buy more!,5,Positive,Positive
But that's personal taste. Sold mine on.,3,Neutral,Neutral
These are great. I will buy more!,5,Positive,Positive
But that's personal taste. Sold mine on.,3,Neutral,Neutral
These are great. I will buy more!,5,Positive,Positive
But that's personal taste. Sold mine on.,3,Neutral,Neutral
These are great. I will buy more!,5,Positive,Positive
But that's personal taste. Sold mine on.,3,Neutral,Neutral
These are great. I will buy more!,5,Positive,Positive
But that's personal taste. Sold mine on.,3,Neutral,Neutral
All three of the flavours are so good,5,Positive,Positive
I have tried many English mustards in my time but always come back to Colmans. If I am out for a Sunday roast I take a tube with me as invariably I will be served an inferior one.,5,Neutral,Positive
"As the title suggests, I really wont buy any other tea bags. PG Tips have a good, strong flavour. I like a strong tea and can get a really good cup with these tea bags. Not overly packaged, which I like. I have never had any problems with damaged tea bags as others have mentioned. Will continue to buy these as a staple.",5,Positive,Positive
This is bleach. Bleachy bleach bleach!,5,Negative,Positive
"I have been buying this shampoo for my husband (who shaves his head every other week) for years, as he doesnt require an expensive shampoo. The fragrance is lovely and he has no complaints about the product. Lathers up well and cleans his head/tiny bit of hair perfectly. Nice packaging. You really cant go wrong for £1",4,Positive,Positive
Great value,5,Positive,Positive
"This Dove deodorant stick is the best deodorant I have ever used. It goes on lovely, smells amazing and leaves me feeling dry and confident that i smell fresh all day long. I love this product, 5 stars and highly recommended.",5,Positive,Positive
Works great,5,Positive,Positive
Great quality,5,Positive,Positive
"Buy this on my amazon prime orders, no problem at all",5,Positive,Positive
Great quality,5,Positive,Positive
Great quality,5,Positive,Positive
Great quality,5,Positive,Positive
"Great product, lovely scent. Lasts me ages.",5,Positive,Positive
A+,5,Positive,Positive
Washes clothes nice,5,Positive,Positive
A+,5,Positive,Positive
Washes clothes nice,5,Positive,Positive
A+,5,Positive,Positive
Washes clothes nice,5,Positive,Positive
Washes clothes nice,5,Positive,Positive
A+,5,Positive,Positive
A+,5,Positive,Positive
Washes clothes nice,5,Positive,Positive
Great taste and adds depth of flavour to any meal. More importantly to my family is that they're gluten free,5,Positive,Positive
Years ago I used to love pot noodles as a student but these were yuck! I had to add additional sauce and even then the pasta tasted like carboard. I was in a situation recently where I only has access to a kettle and chose these over mugshots.....big mistake!!,1,Negative,Negative
"While I like the product, the bottle is unsuitable. The plastic is very thin, which is a good thing, and this means it almost impossible to pick up the bottle and fill the very small cap without spilling a significant amount, especially when the bottle is still relatively full. Do buy this, but only if you are happy to decant the content into a sturdier bottle.",1,Negative,Negative
I love lynx products so was happy to buy this to write a review. I am female but I like the scent of mens products and I think the scent stays longer on the skin. Nice consistency too so you don't lose it off your hands and down the plughole!,5,Positive,Positive
perfect,5,Positive,Positive
Great product! Great price,5,Positive,Positive
"They last forever, work well and I now wouldn't change to another brand. Smell is pretty neutral",5,Positive,Positive
perfect,5,Positive,Positive
"They last forever, work well and I now wouldn't change to another brand. Smell is pretty neutral",5,Positive,Positive
Goos,5,Positive,Positive
Goos,5,Positive,Positive
"Some very considerate friends brought this to a dinner party for the vegans to enjoy and turns out everybody loves it, some even more than the dairy version because of its delicious flavour and less heavy texture. Really good vanilla ice cream!",5,Positive,Positive
"Product is fine. But I struggle to get the smooth thin lid off most of the time. With wet hands, impossible. Also the design makes it difficult to hold and pour the bottle. Won't buy again.",2,Negative,Negative
"I always buy this product, I love it. It's a quality product, smells nice, doesn't leave marks on your clothes!!!",5,Positive,Positive
I love this product It's keeps my hair protected,5,Positive,Positive
Happy with item,5,Positive,Positive
Brilliant product! Left the drains clear and clean,5,Positive,Positive
Great value,5,Positive,Positive
Fine,5,Positive,Positive
"I'v bought loads of these on offer. Used 3 washing with half a cap and I can't small much. I do have a good sense of smell by the way. Description says put a drop, like Wtf.! You need a cap full so now I don't think it will.be 64 wash after all",3,Neutral,Neutral
"I bulk bought these as don't drive and they are heavy to carry from the supermarket. Scent is good, supposed to last 64 washes. This is only if you use half lidfulls. If your like me you'll throw in a full cap and it won't last as long.",5,Neutral,Positive
"Quite a solid product, I find it easier to use if the container is placed in warm water for a few minutes before use.",4,Positive,Positive
Good Alround Thanks,5,Positive,Positive
I love this product It's keeps my hair protected,5,Positive,Positive
Happy with item,5,Positive,Positive
Brilliant product! Left the drains clear and clean,5,Positive,Positive
3 pouches arrived in a persil box in a brown box so safely packaged. Good washing capsules easy to use.,5,Positive,Positive
Great value,5,Positive,Positive
shared with family,5,Positive,Positive
Fantastic price and my mother-in-law loves this. Great product.,5,Positive,Positive
3 pouches arrived in a persil box in a brown box so safely packaged. Good washing capsules easy to use.,5,Positive,Positive
3 pouches arrived in a persil box in a brown box so safely packaged. Good washing capsules easy to use.,5,Positive,Positive
Well worth it,5,Positive,Positive
"This doesn't seem to be genuine...the branding came off, the product has no smell and is very liquid, not the usual consistency of Comfort...DO NOT BUY!",1,Negative,Negative
No idea how they can claim 100+ washes?,3,Negative,Neutral
Like product,4,Positive,Positive
Well worth it,5,Positive,Positive
"This doesn't seem to be genuine...the branding came off, the product has no smell and is very liquid, not the usual consistency of Comfort...DO NOT BUY!",1,Negative,Negative
No idea how they can claim 100+ washes?,3,Negative,Neutral
Like product,4,Positive,Positive
3 pouches arrived in a persil box in a brown box so safely packaged. Good washing capsules easy to use.,5,Positive,Positive
3 pouches arrived in a persil box in a brown box so safely packaged. Good washing capsules easy to use.,5,Positive,Positive
Can’t get this where I live so this was dead handy,5,Negative,Positive
Love this smell,5,Positive,Positive
smells good and not expensive,5,Positive,Positive
Good,4,Positive,Positive
"I love this! I’ve been using it for the past couple of years, I recently bought this off amazon and found it to be a whole lot cheaper than boots. I also use it to tame my hair after I dry it along with protecting it from the heat.",5,Positive,Positive
Good value for money,5,Positive,Positive
I don’t know how anyone can like this..it smells/tastes like weed with vinegar,1,Negative,Negative
"Struggle to open the lid, then it spills every time I try to use the cap as a measure. Terrible design. Product itsel is fine, but would avoid buying because of the irritation with the lid.",2,Negative,Negative
"Have used this for many years with no problem, but it is now a different product which itches. Have bought it from different shops, but it is still the same itchy product. Will not buy it anymore",1,Negative,Negative
"I love this! I’ve been using it for the past couple of years, I recently bought this off amazon and found it to be a whole lot cheaper than boots. I also use it to tame my hair after I dry it along with protecting it from the heat.",5,Positive,Positive
smells good and not expensive,5,Positive,Positive
Good value for money- but the container does make it difficult to pour without spilling,4,Neutral,Positive
